Object_ID, Length, Assignment
scaffold131459-21096,150,NA
scaffold23671-16916,150,NA
scaffold74681-34628,150,NA
scaffold17134-3,150,NA
scaffold78348-73539,150,NA
scaffold126348-22490,150,NA
scaffold95792-79101,150,NA
scaffold41149-2879,150,NA
scaffold116681-24575,150,NA
scaffold81571-15866,150,NA
scaffold80014-16303,150,NA
scaffold73459-116759,150,NA
scaffold86792-70511,150,NA
scaffold113682-40069,150,NA
scaffold132236-16885,150,NA
scaffold75348-19624,150,NA
scaffold69238-177415,150,NA
scaffold72571-125523,150,NA
scaffold84681-92456,150,NA
scaffold87348-38395,150,NA
scaffold129348-31000,150,NA
scaffold118237-21583,150,NA
scaffold101570-6038,150,NA
scaffold101014-27289,150,NA
scaffold3449-17135,150,NA
scaffold67193-1076,150,NA
scaffold74459-101324,150,NA
scaffold74237-11724,150,NA
scaffold8893-6960,150,NA
scaffold83793-16798,150,NA
scaffold53326-1602,150,NA
scaffold132347-5438,150,NA
scaffold122014-27550,150,NA
scaffold8004-27923,150,NA
scaffold124236-12869,150,NA
scaffold26115-3034,150,NA
scaffold88570-33153,150,NA
scaffold97792-56343,150,NA
scaffold15448-4684,150,NA
scaffold82682-116248,150,NA
scaffold45071-6512,150,NA
scaffold91347-11916,150,NA
scaffold98792-5846,150,NA
scaffold8781-21438,150,NA
scaffold77015-79021,150,NA
scaffold86348-40248,150,NA
scaffold108348-8241,150,NA
scaffold87237-24513,150,NA
scaffold100725-28,150,NA
scaffold99792-35557,150,NA
scaffold116015-18439,150,NA
scaffold75904-66757,150,NA
scaffold69904-178999,150,NA
scaffold101903-11767,150,NA
scaffold94459-41957,150,NA
scaffold12338-10679,150,NA
scaffold40271-3547,150,NA
scaffold84237-26993,150,NA
scaffold87903-28625,150,NA
scaffold112903-38624,150,NA
scaffold135142-27,150,NA
scaffold107903-31505,150,NA
scaffold90903-67355,150,NA
scaffold69904-6060,150,NA
scaffold107015-17866,150,NA
scaffold77570-7936,150,NA
scaffold73570-78427,150,NA
scaffold81237-81277,150,NA
scaffold74348-51848,150,976
scaffold40827-2221,150,NA
scaffold2782-7743,150,NA
scaffold74015-87389,150,NA
scaffold84015-75444,150,NA
scaffold76570-46317,150,NA
scaffold68792-65853,150,NA
scaffold107217-173,150,NA
scaffold95681-66458,150,NA
scaffold22338-2562,150,NA
scaffold132347-23619,150,NA
scaffold82126-57673,150,NA
scaffold126570-32156,150,NA
scaffold118681-38648,150,NA
scaffold40938-440,150,NA
scaffold71126-42874,150,NA
scaffold80460-32690,150,NA
scaffold70460-18494,150,NA
scaffold90014-58112,150,NA
scaffold72459-89453,150,NA
scaffold24337-2920,150,NA
scaffold85570-69958,150,NA
scaffold114570-2126,150,NA
scaffold107015-40754,150,NA
scaffold93793-24612,150,NA
scaffold126459-16035,150,NA
scaffold117459-17603,150,NA
scaffold72571-34139,150,NA
scaffold132347-22560,150,NA
scaffold85904-39671,150,NA
scaffold10781-21540,150,NA
scaffold40727-7680,150,NA
scaffold109681-5861,150,NA
scaffold41160-2028,150,NA
scaffold132347-17125,150,NA
scaffold72126-121096,150,NA
scaffold131903-16946,150,NA
scaffold88459-3676,150,NA
scaffold70237-192049,150,NA
scaffold98459-1404,150,NA
scaffold83682-7778,150,NA
scaffold102014-41596,150,NA
scaffold74348-110255,150,NA
scaffold79681-82272,150,NA
scaffold82237-67474,150,NA
scaffold39226-10349,150,NA
scaffold72237-51593,150,NA
scaffold53713-4,150,NA
scaffold10004-13758,150,NA
scaffold124624-1123,150,NA
scaffold41160-6002,150,NA
scaffold76903-106028,150,NA
scaffold119792-26723,150,NA
scaffold84015-7124,150,NA
scaffold114459-40553,150,NA
scaffold39949-6311,150,NA
scaffold127792-26763,150,NA
scaffold109237-25220,150,NA
scaffold127126-28243,150,NA
scaffold75570-5351,150,NA
scaffold92904-48898,150,NA
scaffold90014-20406,150,NA
scaffold101459-26247,150,NA
scaffold105570-21447,150,NA
scaffold7559-1412,150,NA
scaffold104126-40077,150,NA
scaffold30892-12762,150,NA
scaffold127015-26428,150,NA
scaffold45504-1010,150,NA
scaffold116015-17568,150,NA
scaffold114348-47639,150,NA
scaffold85570-48407,150,NA
scaffold30781-10018,150,NA
scaffold35226-13475,150,NA
scaffold78903-140212,150,NA
scaffold114904-34736,150,NA
scaffold135680-3454,150,NA
scaffold72015-72362,150,NA
scaffold88459-49184,150,NA
scaffold93570-66482,150,NA
scaffold110125-14581,150,NA
scaffold80904-15018,150,NA
scaffold66108-30,150,NA
scaffold114681-34985,150,NA
scaffold99125-58165,150,NA
scaffold102458-11568,150,NA
scaffold6115-23251,150,NA
scaffold91014-51041,150,NA
scaffold108459-18711,150,NA
scaffold100125-81751,150,NA
scaffold123014-37835,150,NA
scaffold105681-57457,150,NA
scaffold132014-33171,150,NA
scaffold7004-20024,150,NA
scaffold100014-18092,150,NA
scaffold110903-13403,150,NA
scaffold79681-97780,150,NA
scaffold135458-18815,150,NA
scaffold70126-176829,150,NA
scaffold88014-93024,150,NA
scaffold73682-2108,150,NA
scaffold131236-38116,150,NA
scaffold81126-4321,150,NA
scaffold112236-7355,150,NA
scaffold79715-21,150,NA
scaffold86015-52152,150,NA
scaffold111236-24283,150,NA
scaffold73904-84921,150,NA
scaffold114348-810,150,NA
scaffold27226-7865,150,NA
scaffold90125-50417,150,NA
scaffold133569-5803,150,NA
scaffold69125-200406,150,NA
scaffold109681-29727,150,NA
scaffold87015-29019,150,NA
scaffold98681-52254,150,NA
scaffold102236-29677,150,NA
scaffold100157-25,150,NA
scaffold120125-14310,150,NA
scaffold96348-54568,150,NA
scaffold81682-91149,150,NA
scaffold121014-6793,150,NA
scaffold134569-15359,150,NA
scaffold91571-28545,150,NA
scaffold71015-111612,150,NA
scaffold3671-19011,150,NA
scaffold70126-92994,150,NA
scaffold90125-49159,150,NA
scaffold103126-1536,150,NA
scaffold127681-17342,150,NA
scaffold114793-42851,150,NA
scaffold70237-21769,150,NA
scaffold89792-64169,150,NA
scaffold17559-17369,150,NA
scaffold53471-945,150,NA
scaffold70237-123700,150,NA
scaffold80904-45350,150,NA
scaffold89903-39006,150,NA
scaffold80125-40571,150,NA
scaffold69238-54000,150,NA
scaffold92459-7891,150,NA
scaffold122014-5413,150,NA
scaffold1116-1740,150,NA
scaffold73793-49881,150,NA
scaffold73547-19,150,NA
scaffold70015-134051,150,NA
scaffold11116-4492,150,NA
scaffold69014-119789,150,NA
scaffold76570-27150,150,NA
scaffold92793-11868,150,NA
scaffold72459-127362,150,NA
scaffold72126-96262,150,NA
scaffold72348-22640,150,NA
scaffold70237-143553,150,NA
scaffold105681-71026,150,NA
scaffold78903-140792,150,NA
scaffold74237-117961,150,NA
scaffold70349-157087,150,NA
scaffold118014-12354,150,NA
scaffold3671-33180,150,NA
scaffold81571-82117,150,NA
scaffold82682-118355,150,NA
scaffold46393-456,150,NA
scaffold102458-45187,150,NA
scaffold85459-11533,150,NA
scaffold69125-203732,150,NA
scaffold82682-33878,150,NA
scaffold72237-140816,150,NA
scaffold71126-134641,150,NA
scaffold83570-79369,150,NA
scaffold99014-3042,150,NA
scaffold39337-6483,150,NA
scaffold96459-5506,150,NA
scaffold68792-2445,150,NA
scaffold115681-35780,150,NA
scaffold82348-33798,150,NA
scaffold78903-48411,150,NA
scaffold124014-26379,150,NA
scaffold119681-20517,150,NA
scaffold82904-70234,150,NA
