Object_ID, Length, Assignment
NW_003302553.1-2131138,150,NA
NW_003302550.1-1138181,150,NA
NW_003302548.1-1021136,150,NA
NW_003302550.1-2411817,150,NA
NW_003302553.1-1018436,150,NA
NW_003302551.1-22158,150,NA
NW_003302555.1-551062,150,200795
NW_003302551.1-1574322,150,NA
NW_003302552.1-141501,150,NA
NW_003302555.1-952068,150,NA
NW_003302548.1-2270612,150,NA
NW_003302446.1-1180,150,NA
NW_003302549.1-619297,150,NA
NW_003302551.1-324380,150,NA
NW_003302550.1-2154269,150,NA
NW_003302555.1-2075153,150,NA
NW_003302550.1-1661480,150,NA
NW_003302549.1-918653,150,NA
NW_003302552.1-611312,150,NA
NW_003302447.1-544,150,NA
NW_003302554.1-1441253,150,NA
NW_003302552.1-1605441,150,NA
NW_003302554.1-927815,150,NA
NW_003302549.1-297375,150,NA
NW_003302553.1-900561,150,NA
NW_003302548.1-1732288,150,NA
NW_003302555.1-735204,150,NA
NW_003302551.1-1482988,150,NA
NW_003302550.1-81004,150,NA
NW_003302555.1-304131,150,NA
NW_003302550.1-1421523,150,NA
NW_003302549.1-119509,150,NA
NW_003302551.1-80368,150,NA
NW_003302451.1-962,150,200795
NW_003302550.1-647695,150,NA
NW_003302550.1-207470,150,NA
NW_003302550.1-1942734,150,NA
NW_003302459.1-1559,150,NA
NW_003302554.1-325278,150,NA
NW_003302552.1-1544345,150,NA
NW_003302550.1-1358372,150,NA
NW_003302549.1-1367218,150,NA
NW_003302552.1-1810656,150,NA
NW_003302551.1-1518850,150,NA
NW_003302552.1-197079,150,NA
NW_003302551.1-404452,150,NA
NW_003302550.1-922897,150,NA
NW_003302548.1-1522966,150,NA
NW_003302550.1-1959102,150,NA
NW_003302348.1-340,150,NA
NW_003302551.1-293311,150,1224
NW_003302555.1-2982206,150,NA
NW_003302550.1-1722887,150,NA
NW_003302553.1-1359904,150,NA
NW_003302548.1-543446,150,NA
NW_003302551.1-212097,150,NA
NW_003302553.1-1458023,150,NA
NW_003302552.1-1347615,150,NA
NW_003302553.1-399738,150,NA
NW_003302548.1-891154,150,NA
NW_003302553.1-28174,150,NA
NW_003302551.1-892020,150,NA
NW_003302555.1-2915575,150,NA
NW_003302552.1-485086,150,NA
NW_003302552.1-580306,150,NA
NW_003302552.1-1162159,150,NA
NW_003302549.1-1026391,150,NA
NW_003302548.1-2247464,150,NA
NW_003302550.1-2289443,150,NA
NW_003302549.1-1395184,150,NA
NW_003302555.1-1409184,150,NA
NW_003302552.1-342021,150,NA
NW_003302527.1-1092,150,NA
NW_003302553.1-2295829,150,NA
NW_003302551.1-526315,150,NA
NW_003302549.1-1825478,150,NA
NW_003302552.1-1142611,150,NA
NW_003302555.1-1916490,150,NA
NW_003302554.1-1841575,150,NA
NW_003302552.1-2269152,150,NA
NW_003302548.1-1270674,150,NA
NW_003302549.1-723345,150,NA
NW_003302547.1-109065,150,NA
NW_003302551.1-534932,150,NA
NW_003302552.1-2120136,150,NA
NW_003302555.1-2428063,150,NA
NW_003302553.1-2361654,150,NA
NW_003302553.1-1587160,150,NA
NW_003302553.1-1596419,150,NA
NW_003302555.1-430828,150,NA
NW_003302555.1-412401,150,NA
NW_003302553.1-1380419,150,NA
NW_003302555.1-536521,150,NA
NW_003302554.1-362410,150,NA
NW_003302554.1-869854,150,NA
NW_003302552.1-1045557,150,NA
NW_003302551.1-1047605,150,NA
NW_003302554.1-1155310,150,NA
NW_003302552.1-2105545,150,NA
NW_003302550.1-1246627,150,NA
NW_003302554.1-814724,150,NA
NW_003302555.1-3053475,150,NA
NW_003302554.1-27163,150,NA
NW_003302547.1-165738,150,NA
NW_003302548.1-663555,150,NA
NW_003302549.1-1233207,150,NA
NW_003302548.1-918968,150,NA
NW_003302555.1-1604640,150,NA
NW_003302555.1-3312934,150,NA
NW_003302552.1-1334919,150,NA
NW_003302551.1-1333160,150,NA
NW_003302553.1-1370755,150,NA
NW_003302544.1-25484,150,NA
NW_003302552.1-65938,150,NA
NW_003302550.1-1090736,150,NA
NW_003302553.1-45309,150,NA
NW_003302553.1-892703,150,NA
NW_003302550.1-430534,150,NA
NW_003302553.1-2062136,150,NA
NW_003302542.1-24016,150,NA
NW_003302553.1-543788,150,NA
NW_003302552.1-1575934,150,NA
NW_003302548.1-185433,150,NA
NW_003302555.1-2870082,150,NA
NW_003302550.1-464818,150,NA
NW_003302389.1-334,150,NA
NW_003302549.1-2400472,150,NA
NW_003302554.1-108168,150,NA
NW_003302550.1-352305,150,NA
NW_003302554.1-1841037,150,NA
NW_003302555.1-2112186,150,NA
NW_003302555.1-851083,150,NA
NW_003302551.1-1865638,150,NA
NW_003302550.1-2377728,150,NA
NW_003302551.1-1916157,150,NA
NW_003302553.1-305482,150,NA
NW_003302552.1-1007263,150,NA
NW_003302548.1-2201363,150,NA
NW_003302211.1-198,150,1224
NW_003302554.1-425968,150,NA
NW_003302552.1-1462017,150,NA
NW_003302548.1-155892,150,200795
NW_003302552.1-2261686,150,NA
NW_003302555.1-1446015,150,NA
NW_003302553.1-448046,150,NA
NW_003302554.1-988359,150,NA
NW_003302552.1-1875878,150,NA
NW_003302548.1-498714,150,NA
NW_003302548.1-1552570,150,NA
NW_003302553.1-412166,150,NA
NW_003302555.1-1193142,150,NA
NW_003302549.1-1673822,150,NA
NW_003302552.1-975945,150,200795
NW_003302553.1-1333616,150,NA
NW_003302554.1-1337340,150,NA
NW_003302554.1-1155416,150,NA
NW_003302315.1-779,150,NA
NW_003302549.1-2280585,150,NA
NW_003302551.1-1898135,150,NA
NW_003302548.1-1004626,150,NA
NW_003302549.1-2170464,150,NA
NW_003302549.1-1024072,150,NA
NW_003302552.1-2166115,150,NA
NW_003302552.1-1769489,150,NA
NW_003302549.1-1700761,150,NA
NW_003302555.1-2972525,150,NA
NW_003302548.1-1269035,150,NA
NW_003302549.1-858658,150,NA
NW_003302554.1-1035700,150,NA
NW_003302548.1-1241772,150,NA
NW_003302554.1-550419,150,NA
NW_003302553.1-1829306,150,NA
NW_003302554.1-1698668,150,NA
NW_003302548.1-1427695,150,NA
